Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
62;22489;"European Journal of Operational Research";journal;"03772217";"Elsevier B.V.";No;No;2,373;Q1;333;523;1961;30280;16161;1951;8,17;57,90;27,82;3;Netherlands;Western Europe;"Elsevier B.V.";"1977-2026";"Computer Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Information Systems and Management (Q1); Management Science and Operations Research (Q1); Modeling and Simulation (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
63;26430;"SIAM Review";journal;"10957200, 00361445";"Society for Industrial and Applied Mathematics Publications";No;No;2,331;Q1;140;14;114;965;706;84;6,34;68,93;23,08;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1969-1972, 1974-1978, 1983-2025";"Applied Mathematics (Q1); Computational Mathematics (Q1); Theoretical Computer Science (Q1)";"Mathematics"
64;21100265617;"Weather and Climate Extremes";journal;"22120947";"Elsevier B.V.";Yes;No;2,304;Q1;79;97;307;6504;2489;306;7,18;67,05;37,95;3;Netherlands;Western Europe;"Elsevier B.V.";"2013-2026";"Atmospheric Science (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Statistics and Probability (Q1)";"Earth and Planetary Sciences; Environmental Science; Mathematics; Social Sciences"
65;24570;"Advances in Mathematics";journal;"10902082, 00018708";"Academic Press Inc.";No;No;2,270;Q1;124;437;1305;16861;2440;1305;1,67;38,58;16,69;0;United States;Northern America;"Academic Press Inc.";"1961, 1964-1965, 1967-2026";"Mathematics (miscellaneous) (Q1)";"Mathematics"
66;25105;"Mathematische Annalen";journal;"00255831, 14321807";"Springer New York";No;No;2,243;Q1;84;393;708;14470;1433;708;1,97;36,82;17,36;0;Germany;Western Europe;"Springer New York";"1869-1941, 1943-1944, 1947, 1949-2026";"Mathematics (miscellaneous) (Q1)";"Mathematics"
67;23819;"Journal of Algebraic Geometry";journal;"10563911, 15347486";"American Mathematical Society";No;No;2,234;Q1;53;18;58;735;90;58;1,44;40,83;19,44;0;United States;Northern America;"American Mathematical Society";"1996-2025";"Algebra and Number Theory (Q1); Geometry and Topology (Q1)";"Mathematics"
68;21100197121;"Geoscientific Model Development";journal;"1991959X, 19919603";"Copernicus Publications";Yes;No;2,134;Q1;159;411;1135;32016;6812;1134;4,88;77,90;27,78;8;Germany;Western Europe;"Copernicus Publications";"2008-2026";"Earth and Planetary Sciences (miscellaneous) (Q1); Modeling and Simulation (Q1)";"Earth and Planetary Sciences; Mathematics"
69;19900192175;"Journal of Topology";journal;"17538416, 17538424";"John Wiley and Sons Ltd";No;No;2,133;Q1;40;41;143;1611;193;143;1,36;39,29;16,25;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2008-2026";"Geometry and Topology (Q1)";"Mathematics"
70;24207;"Fuzzy Optimization and Decision Making";journal;"15732908, 15684539";"Springer New York";No;No;2,128;Q1;71;27;79;793;632;79;8,25;29,37;31,94;0;United States;Northern America;"Springer New York";"2002-2026";"Artificial Intelligence (Q1); Logic (Q1); Software (Q1)";"Computer Science; Mathematics"
71;26421;"SIAM Journal on Numerical Analysis";journal;"00361429, 10957170";"Society for Industrial and Applied Mathematics Publications";No;No;2,120;Q1;162;97;343;3890;1090;342;2,93;40,10;20,33;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1969-1972, 1974-1978, 1983-1987, 1990-2026";"Applied Mathematics (Q1); Computational Mathematics (Q1); Numerical Analysis (Q1)";"Mathematics"
