name,title,college,url
Robert Peitzsch,Adjunct Professor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/robert-peitzsch
John Schaeffer,Adjunct Instructor,Connecticut College,https://www.conncoll.edu/directories/faculty-profiles/john-schaeffer
Jeff Humphries,Professor,Covenant College,https://covenant.edu/academics/cs/faculty/humphries.html
Zeyu Zhou,Visiting Assistant Professor,Covenant College,https://covenant.edu/academics/cs/faculty/zhou.html
Prof. Raghu Ramanujan,Associate Professor,Davidson College,https://www.davidson.edu/people/raghu-ramanujan
Matthew Bachmann,Visiting Assistant Professor,Davidson College,https://www.davidson.edu/people/matthew-bachmann
Heather Blake,Associate Professor,Davidson College,https://www.davidson.edu/people/heather-blake
Tim Chartier,Professor,Davidson College,https://www.davidson.edu/people/tim-chartier
Angel Chavez,Assistant Professor,Davidson College,https://www.davidson.edu/people/angel-chavez
Laurie Heyer,Associate Professor,Davidson College,https://www.davidson.edu/people/laurie-heyer
Terrence Lim,Assistant Professor,Davidson College,https://www.davidson.edu/people/terrence-lim
Hammurabi Mendes,Associate Professor,Davidson College,https://www.davidson.edu/people/hammurabi-mendes
Catherine Nemitz,Assistant Professor,Davidson College,https://www.davidson.edu/people/catherine-nemitz
Tabitha Peck,Associate Professor,Davidson College,https://www.davidson.edu/people/tabitha-peck
Jonad Pulaj,Associate Professor,Davidson College,https://www.davidson.edu/people/jonad-pulaj
Raghu Ramanujan,Associate Professor,Davidson College,https://www.davidson.edu/people/raghu-ramanujan
Katy Williams,Assistant Professor,Davidson College,https://www.davidson.edu/people/katy-williams
Ana Wright,Assistant Professor,Davidson College,https://www.davidson.edu/people/ana-wright
Carl Yerger,Professor,Davidson College,https://www.davidson.edu/people/carl-yerger
Yan Zhuang,Associate Professor,Davidson College,https://www.davidson.edu/people/yan-zhuang
Michael Chavrimootoo,Assistant Professor,Denison University,https://denison.edu/people/michael-chavrimootoo
Flannery Currin,Assistant Professor,Denison University,https://denison.edu/people/flannery-currin
Mikey Goldweber,Professor,Denison University,https://denison.edu/people/mikey-goldweber
David Kahn,Assistant Professor,Denison University,https://denison.edu/people/david-kahn
Matt Kretchmar,Professor,Denison University,https://denison.edu/people/robert-kretchmar
Ashwin Lall,Professor,Denison University,https://denison.edu/people/ashwin-lall
Ali Miller,Instructor,Denison University,https://denison.edu/people/ali-miller
Stacey Truex,Assistant Professor,Denison University,https://denison.edu/people/stacey-truex
Dave Berque,Lab Instructor,DePauw University,https://www.depauw.edu/directories/detail/730493820513/
