name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
Jan Pearce,Professor,Berea College,Berea College,matched,826.0,624.0,12.0,8.0,14.0,8.0,computing education; robotics; broadening participation in computing; computing for social good,"{'2004': 6, '2005': 5, '2006': 6, '2007': 19, '2008': 8, '2009': 11, '2010': 9, '2011': 14, '2012': 12, '2013': 9, '2014': 10, '2015': 5, '2016': 11, '2017': 3, '2018': 10, '2019': 13, '2020': 40, '2021': 57, '2022': 68, '2023': 142, '2024': 153, '2025': 153, '2026': 51}"
Jacqueline Boggs,Assistant Professor,Berea College,,no_match,,,,,,,,
Scott Heggen,Associate Professor,Berea College,"Berea College, University of North Carolina at Charlotte, Western Carolina University",matched,140.0,67.0,6.0,4.0,6.0,2.0,Embedded systems; software engineering; computer science education; participatory sensing; mobile computing,"{'2013': 4, '2014': 7, '2015': 12, '2016': 11, '2017': 11, '2018': 8, '2019': 10, '2020': 8, '2021': 18, '2022': 10, '2023': 11, '2024': 11, '2025': 13, '2026': 4}"
Jasmine Jones,Associate Professor,Berea College,"Associate Professor,Berea College",matched,547.0,336.0,13.0,11.0,13.0,11.0,HCI; CSCW; Tangible Computing,"{'2013': 6, '2014': 6, '2015': 6, '2016': 18, '2017': 29, '2018': 34, '2019': 43, '2020': 59, '2021': 75, '2022': 55, '2023': 51, '2024': 59, '2025': 71, '2026': 25}"
Mario Nakazawa,Associate Professor,Berea College,"Associate Professor,Berea College",matched_college,,,,,,,HCI; CSCW; Tangible Computing,
Deanna Wilborne,Assistant Professor,Berea College,"Berea College, Department of Women's, Gender, and Sexuality Studies",matched_college,,,,,,,queer urban ecology; sociospatial theory; queer theory; gender and sexuality studies; autonomous social movements,
Alex Mathew,Associate Professor,Bethany College (WV),"Professor, Bethany College, USA",matched_name,,,,,,,Tech Cybersecurity Engineering; Cyber Crimes& Digital Forensics; IOT; Cybersecurity Risk Management; Data Analytics etc,
Fujiko Nito,Professor,Bethany College (WV),,no_match,,,,,,,,
Perry Lund,Adjunct Assistant Professor,Bethany Lutheran College,"Professor, Bethany Lutheran College",matched_college,,,,,,,Media Psychology; Moral Intuitions; Media Effects; Virtual Reality,
Sean K. Barker,Associate Professor,Bowdoin College,"Associate Professor of Computer Science,Bowdoin College",matched,2554.0,733.0,18.0,13.0,21.0,18.0,Energy Analytics; Smart Buildings; Distributed Systems,"{'2011': 15, '2012': 63, '2013': 139, '2014': 194, '2015': 230, '2016': 232, '2017': 248, '2018': 243, '2019': 223, '2020': 201, '2021': 174, '2022': 174, '2023': 143, '2024': 115, '2025': 114, '2026': 13}"
David Byrd,Assistant Professor,Bowdoin College,"Assistant Professor,Bowdoin CollegeDept. of Computer Science",matched,1118.0,1041.0,13.0,12.0,13.0,12.0,AI Finance; Responsible ML; Multi-Agent Simulation,"{'2016': 4, '2017': 13, '2018': 8, '2019': 21, '2020': 25, '2021': 91, '2022': 108, '2023': 190, '2024': 252, '2025': 307, '2026': 93}"
Jeová Farias,Assistant Professor,Bowdoin College,Bowdoin College,matched,324.0,213.0,8.0,6.0,6.0,5.0,Computer Vision; Optimization; Image Processing,"{'2016': 1, '2017': 9, '2018': 24, '2019': 29, '2020': 47, '2021': 41, '2022': 37, '2023': 36, '2024': 44, '2025': 46, '2026': 9}"
Cibele Matos Freire,Assistant Professor,Bowdoin College,Bowdoin College,matched,94.0,51.0,3.0,2.0,2.0,2.0,Computer Science,"{'2010': 1, '2011': 1, '2012': 3, '2013': 8, '2014': 8, '2015': 12, '2016': 10, '2017': 9, '2018': 4, '2019': 9, '2020': 12, '2021': 13, '2022': 4}"
Sarah M. Harmon,Associate Professor,Bowdoin College,,no_match,,,,,,,,
Stephen Houser,Adjunct Lecturer,Bowdoin College,Bowdoin College,matched_college,,,,,,,Chinese politics; contentious politics; authoritarian resilience,
Bobak Kiani,Assistant Professor,Bowdoin College,MIT,manual_approved,1551.0,1506.0,21.0,20.0,28.0,28.0,Quantum Computation; Quantum Information; Learning Theory; Artificial Intelligence,"{'2018': 4, '2019': 5, '2020': 31, '2021': 67, '2022': 126, '2023': 239, '2024': 371, '2025': 481, '2026': 221}"
Jeffrey Knockel,Assistant Professor,Bowdoin College,"Professor of Chemistry Emeritus,Bowdoin College",matched_college,,,,,,,Inorganic chemistry; photochemistry,
Christopher Martin,Visiting Lecturer,Bowdoin College,"Dean, College of Business,Louisiana Tech University",matched_name,,,,,,,organizational behavior; fairness; deviant behavior; family business; change management,
Laura I. Toma,Professor,Bowdoin College,Bowdoin College,matched,1075.0,166.0,18.0,7.0,25.0,5.0,algorithms and data structures; GIS; computer science education,"{'2001': 31, '2002': 19, '2003': 37, '2004': 39, '2005': 45, '2006': 52, '2007': 35, '2008': 51, '2009': 64, '2010': 52, '2011': 59, '2012': 65, '2013': 49, '2014': 46, '2015': 34, '2016': 22, '2017': 51, '2018': 45, '2019': 50, '2020': 35, '2021': 45, '2022': 43, '2023': 29, '2024': 12, '2025': 26, '2026': 11}"
Verne E. Leininger,Associate Professor,Bridgewater College,,no_match,,,,,,,,
Eric McGregor,Associate Professor,Bridgewater College,,no_match,,,,,,,,
Fredrik Bryntesson,Professor,Bryn Athyn College,"Assistant Professor of Education, Bryn Athyn College",matched_college,,,,,,,inclusion; special education; disability studies in education; teacher education,
Stella Evans,Assistant Professor,Bryn Athyn College,"Assistant Professor of Education, Bryn Athyn College",matched_college,,,,,,,inclusion; special education; disability studies in education; teacher education,
Thomas Frazier,Lecturer,Bryn Athyn College,John Carroll University,matched_name,,,,,,,child mental health; autism,
Ellen McKee,Adjunct Professor,Bryn Athyn College,"Assistant Professor of Education, Bryn Athyn College",matched_college,,,,,,,inclusion; special education; disability studies in education; teacher education,
Ryan Pine,Assistant Professor,Bryn Athyn College,,no_match,,,,,,,,
Elizabeth Hollister Rogers,Professor,Bryn Athyn College,,no_match,,,,,,,,
Neil Simonetti,Professor,Bryn Athyn College,"Assistant Professor of Education, Bryn Athyn College",matched_college,,,,,,,inclusion; special education; disability studies in education; teacher education,
Elizabeth Dinella,Assistant Professor,Bryn Mawr College,Bryn Mawr College,matched_college,,,,,,,,
Ramesh Garimella,Visiting Professor,Bryn Mawr College,"Associated Professor of History of Art,Bryn Mawr College",matched_college,,,,,,,Chinese art and archaeology; art of the Silk Road,
Aline Normoyle,Assistant Professor,Bryn Mawr College,"Emeritus Professor of Growth and Structure of Cities,Bryn Mawr College",matched_college,,,,,,,history of architecture; history of planning,
Adam Poliak,Assistant Professor,Bryn Mawr College,Bryn Mawr College,matched,6272.0,5561.0,24.0,21.0,30.0,27.0,Natural Language Processing; Machine Learning,"{'2018': 57, '2019': 199, '2020': 404, '2021': 499, '2022': 618, '2023': 881, '2024': 1412, '2025': 1588, '2026': 521}"
Michael Wehar,Visiting Assistant Professor,Bryn Mawr College,Bryn Mawr College,matched,154.0,106.0,8.0,8.0,7.0,5.0,,"{'2015': 1, '2016': 5, '2017': 6, '2018': 9, '2019': 9, '2020': 17, '2021': 17, '2022': 18, '2023': 14, '2024': 12, '2025': 37, '2026': 8}"
Dianna Xu,Professor,Bryn Mawr College,"Associated Professor of History of Art,Bryn Mawr College",matched_college,,,,,,,Chinese art and archaeology; art of the Silk Road,
Alan Marchiori,Associate Professor,Bucknell University,Associate Professor of Computer Science & Associate Professor of Electrical and Computer Engineering,manual_approved,864.0,227.0,12.0,7.0,14.0,5.0,Internet of Things; LPWAN,"{'2004': 6, '2005': 13, '2006': 8, '2007': 17, '2008': 23, '2009': 24, '2010': 24, '2011': 41, '2012': 62, '2013': 47, '2014': 64, '2015': 48, '2016': 49, '2017': 57, '2018': 46, '2019': 50, '2020': 47, '2021': 53, '2022': 50, '2023': 44, '2024': 41, '2025': 30, '2026': 9}"
Lea Wittie,Associate Professor,Bucknell University,"Computer Science Department,Bucknell University",matched,113.0,37.0,6.0,3.0,3.0,1.0,,"{'2004': 6, '2005': 4, '2006': 3, '2007': 13, '2008': 7, '2009': 6, '2010': 3, '2011': 8, '2012': 3, '2013': 5, '2014': 1, '2015': 2, '2016': 2, '2017': 3, '2018': 7, '2019': 6, '2020': 6, '2021': 11, '2022': 7, '2023': 3, '2024': 4}"
Alexander Fuchsberger,Associate Teaching Professor,Bucknell University,Bucknell University,matched,54.0,42.0,5.0,4.0,2.0,2.0,Crowd Simulations; Artificial Intelligence; Web Technologies,"{'2018': 1, '2019': 6, '2020': 5, '2021': 9, '2022': 7, '2023': 8, '2024': 5, '2025': 7, '2026': 6}"
Samuel Gutekunst,Assistant Professor,Bucknell University,"John D. and Catherine T. MacArthur Assistant Professor of Data Science, Bucknell University",matched,109.0,93.0,6.0,5.0,4.0,4.0,Combinatorial Optimization; Combinatorics,"{'2017': 1, '2018': 2, '2019': 4, '2020': 4, '2021': 17, '2022': 16, '2023': 12, '2024': 13, '2025': 19, '2026': 14}"
Jessen Havill,Professor,Bucknell University,Bucknell University,matched,359.0,100.0,9.0,6.0,9.0,3.0,algorithm analysis; online algorithms; computational biology,"{'1998': 1, '1999': 6, '2000': 4, '2001': 1, '2002': 4, '2003': 2, '2004': 1, '2005': 6, '2006': 9, '2007': 16, '2008': 14, '2009': 7, '2010': 9, '2011': 7, '2012': 4, '2013': 25, '2014': 23, '2015': 19, '2016': 34, '2017': 31, '2018': 27, '2019': 25, '2020': 12, '2021': 21, '2022': 20, '2023': 16, '2024': 6}"
Brian King,Associate Professor,Bucknell University,"Associate Professor of Computer Science,Bucknell University",matched,570.0,263.0,10.0,6.0,10.0,6.0,Sequential Pattern Mining; Sequence Analysis; Bioinformatics,"{'2008': 4, '2009': 7, '2010': 7, '2011': 9, '2012': 14, '2013': 29, '2014': 28, '2015': 33, '2016': 28, '2017': 35, '2018': 41, '2019': 18, '2020': 47, '2021': 33, '2022': 54, '2023': 53, '2024': 46, '2025': 68, '2026': 9}"
